"ASV","SpearmanRho","pValue","Occurrence","OccurrencePct","Kingdom","Phylum","Class","Order","Family","Genus","Species","CalcifierGeneral","CalcifierLarval","CalcifierAdult","StructureLarval","StructureAdult","MineralForm","PlanktonicLifeHistory","Removal","Description"
"416",0.379419832831116,0.000518573767381461,9,11.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1613",0.378756003627406,0.000531405884318958,20,25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus tropicus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1783",0.378395044840225,0.000538504510760636,13,16.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus arcuicornis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"421",0.371899800108337,0.000681974384526083,9,11.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"724",0.371618909978374,0.000688900405379719,11,13.75,"Eukaryota","Mollusca","Gastropoda","Pteropoda","Limacinidae",NA,NA,"Yes","Yes","Yes","External shell","External shell","Aragonite","Holoplanktonic","No","Sea butterflies"
"850",0.371453219059162,0.000693015910345216,17,21.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"134",0.371011388208876,0.000704100065840817,60,75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"326",0.366969261494751,0.000813260626384426,22,27.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus jobei","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1179",0.366027948576599,0.00084079666091744,16,20,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus tropicus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"645",0.36462081076669,0.000883542698998371,10,12.5,"Eukaryota","Mollusca","Gastropoda","Pteropoda","Creseidae","Styliola","Styliola sp.","Yes","Yes","Yes","External shell","External shell","Aragonite","Holoplanktonic","No","Sea butterflies"
"533",0.364527736802875,0.000886438567031668,13,16.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus jobei","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"710",0.363905399782848,0.000906024460425894,11,13.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Metridinidae","Pleuromamma","Pleuromamma abdominalis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"45",0.362728551336146,0.00101457203114086,79,98.75,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora",NA,"Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"153",0.361827261027181,0.000974309409250169,13,16.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Candaciidae","Candacia","Candacia curta","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"319",0.36149099774518,0.000985787687159469,17,21.25,"Eukaryota","Annelida","Polychaeta","Spionida","Spionidae",NA,NA,"No","No","No","None","None","None","Benthic + Meroplanktonic","No","Marine worms (sediment burrowers)"
"206",0.360497335008394,0.00102042717633806,41,51.25,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"86",0.359745986755036,0.00104734884435492,49,61.25,"Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Atlantidae","Atlanta","Atlanta sp. USNM IZ 1230636","Yes","Yes","Yes","External shell","External shell","Aragonite/Calcite","Meroplanktonic","No","Periwinkles and related snails"
"96",0.357792786757259,0.00112037560098888,20,25,"Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Sea urchins"
"1633",0.356440607951571,0.0011736026966922,10,12.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus jobei","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"358",0.349183167125396,0.00150045227852533,11,13.75,"Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Sea urchins"
"108",0.348533982620374,0.00153336440265472,71,88.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"608",0.34751096596184,0.0015865536708092,36,45,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Hansarsia",NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"174",0.346795732028031,0.0016247237490583,54,67.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus pergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3898",0.345184451189514,0.00171376652436049,4,5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calocalanidae","Calocalanus","Calocalanus sp. 1 AC_2013","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"56",0.341640109703566,0.0019253022902146,25,31.25,"Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Sea urchins"
"1039",0.339042384404832,0.00209496990906554,9,11.25,"Eukaryota","Mollusca","Gastropoda","Pteropoda","Limacinidae",NA,NA,"Yes","Yes","Yes","External shell","External shell","Aragonite","Holoplanktonic","No","Sea butterflies"
"759",0.33776437171111,0.00218327868385338,18,22.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus tropicus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1346",0.337270935496506,0.00221825993290921,4,5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae",NA,NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1175",0.334713024522572,0.00240779907580213,13,16.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Conchoecia","Conchoecia magna","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"520",0.333706037843255,0.00248631784238534,19,23.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus paululus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"90",0.330645350427236,0.00273926770505366,77,96.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1056",0.325132855398607,0.00325356988676222,14,17.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus arcuicornis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"284",0.322526915040165,0.00352545769058466,17,21.25,"Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus","Yes","Yes","Yes","Internal skeleton","Exoskeleton","Calcite","Meroplanktonic","No","Sea urchins"
"652",0.322194801288854,0.0035615259688778,14,17.5,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia recurva","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"110",0.320738028697779,0.00372365316962856,56,70,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"149",0.316716216986065,0.00420592177334098,18,22.5,"Eukaryota","Annelida","Polychaeta","Spionida","Spionidae",NA,NA,"No","No","No","None","None","None","Benthic + Meroplanktonic","No","Marine worms (sediment burrowers)"
"359",0.313981908519009,0.00456477216800248,36,45,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus pergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"778",0.311251437472672,0.00494999791803755,24,30,"Eukaryota","Arthropoda","Copepoda","Calanoida","Lucicutiidae","Lucicutia","Lucicutia flavicornis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"117",0.309711693562877,0.00517971173570747,56,70,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"360",0.308888922184816,0.00530629196217681,33,41.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Lucicutiidae","Lucicutia","Lucicutia flavicornis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1925",0.308471945052932,0.00537148224608119,4,5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1828",0.307137509073327,0.005584899552225,4,5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Euchaetidae","Euchaeta",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2272",0.305151371801356,0.0059164389200739,4,5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"191",0.30480622360448,0.00597579422945704,29,36.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2041",0.300885540209055,0.00668788901860749,3,3.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Mecynoceridae","Mecynocera","Mecynocera clausi","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"198",0.300682562939423,0.00672671043181459,4,5,"Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Athorybiidae",NA,NA,"No","No","No","None","None","None","Holoplanktonic","No","Colonial hydrozoans (e.g., Portuguese man o' war)"
"93",0.300152387479998,0.00682905015245537,75,93.75,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Ctenocalanus","Ctenocalanus vanus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"958",0.298326443179683,0.00719208725580095,8,10,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"187",0.296179461301871,0.00764059220046178,17,21.25,"Eukaryota","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus",NA,"Variable","Yes","No","Statoliths","None","Aragonite","Meroplanktonic","No","Octopi"
"689",0.295854068398193,0.00771066929119598,10,12.5,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiodia","Amphiodia cf_ urtica EAC_2010","Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"1506",0.29440909346168,0.00802872908304298,8,10,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiodia",NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
