SampleID,SeqID18S,SeqIDCO1,StationID,Agency,Station,Season,Quarter,Latitude,Longitude,avgArag,avgTA,avgDIC,avgpH,avgCTDTemp,avgCTDSalinity,avgCTDDensity,avgCTDpH,avgCTDOxygen
B12-3-2019,MP_72_18S_S84_L001,MP_72_CO1_S195_L001,LACSD_12,LACSD,12,Fall 2019,3,33.556814,-118.275623,1.66923015,2239.161154,2099.253834,7.906098435,13.25151163,33.6267907,25.2747093,8.071162791,178.9238539
B12-4-2020,MP_112_18S_S24_L001,MP_112_CO1_S135_L001,LACSD_12,LACSD,12,Winter 2020,4,33.556814,-118.275623,1.742232897,2237.826305,2088.821523,7.928595624,13.1822093,33.59540698,25.25956977,7.983488372,191.8977809
B13-1-2019,MP_33_18S_S45_L001,MP_33_CO1_S156_L001,OCSAN_13,OCSD,13,Spring 2019,1,33.544089,-118.145192,1.142747874,2244.852605,2166.001853,7.775608441,10.63313953,33.76059302,25.87460465,7.466744186,126.9516656
B13-2-2019,MP_53_18S_S65_L001,MP_53_CO1_S176_L001,OCSAN_13,OCSD,13,Summer 2019,2,33.544089,-118.145192,1.500346041,2238.614207,2118.568002,7.865572915,12.3627907,33.62422093,25.43823256,7.569883721,163.2642872
B13-3-2019,MP_73_18S_S85_L001,MP_73_CO1_S196_L001,OCSAN_13,OCSD,13,Fall 2019,3,33.544089,-118.145192,1.666935487,2238.667926,2099.649797,7.903324943,13.08790698,33.61401163,25.28626744,7.81,179.1058011
B13-4-2020,MP_13_18S_S25_L001,MP_13_CO1_S136_L001,OCSAN_13,OCSD,13,Winter 2020,4,33.544089,-118.145192,1.737495771,2237.539647,2089.433455,7.926316199,13.24976744,33.58917442,25.24427907,7.80372093,190.1381252
B14-1-2019,MP_34_18S_S46_L001,MP_34_CO1_S157_L001,OCSAN_14,OCSD,14,Spring 2019,1,33.49027292,-118.0377884,1.225409488,2244.053818,2154.593329,7.799800717,10.93267442,33.74076744,25.8024186,7.483139535,137.7090835
B14-2-2019,MP_54_18S_S66_L001,MP_54_CO1_S177_L001,OCSAN_14,OCSD,14,Summer 2019,2,33.49027292,-118.0377884,1.527738898,2238.213213,2115.343522,7.8707506,12.45953488,33.61077907,25.40686047,7.548023256,165.6253701
B14-3-2019,MP_74_18S_S86_L001,MP_74_CO1_S197_L001,OCSAN_14,OCSD,14,Fall 2019,3,33.49027292,-118.0377884,1.794912833,2236.834608,2082.831591,7.936902414,13.43802326,33.57010465,25.18215116,7.838255814,195.1018556
B14-4-2020,MP_14_18S_S26_L001,MP_14_CO1_S137_L001,OCSAN_14,OCSD,14,Winter 2020,4,33.49027292,-118.0377884,1.771546325,2236.874646,2085.189464,7.933031122,13.40988372,33.57083721,25.19634884,7.796860465,192.8371202
B15-1-2019,MP_35_18S_S47_L001,MP_35_CO1_S158_L001,OCSAN_15,OCSD,15,Spring 2019,1,33.42849801,-117.9106432,1.294143235,2242.161306,2144.068718,7.821244815,11.16697674,33.70580233,25.73138372,7.551744186,147.3595231
B15-2-2019,MP_55_18S_S67_L001,MP_55_CO1_S178_L001,OCSAN_15,OCSD,15,Summer 2019,2,33.42849801,-117.9106432,1.518224802,2238.762614,2117.171969,7.866723496,12.50883721,33.62345349,25.40546512,7.574534884,163.1015061
B15-3-2019,MP_75_18S_S87_L001,MP_75_CO1_S198_L001,OCSAN_15,OCSD,15,Fall 2019,3,33.42849801,-117.9106432,1.738383659,2238.242079,2091.674959,7.91799933,13.32488372,33.60213953,25.22422093,7.784883721,185.906602
B15-4-2020,MP_15_18S_S27_L001,MP_15_CO1_S138_L001,OCSAN_15,OCSD,15,Winter 2020,4,33.42849801,-117.9106432,1.625654291,2239.930766,2105.790679,7.891718954,13.22209302,33.64261628,25.29406977,7.723953488,171.4018657
B16-1-2019,MP_36_18S_S48_L001,MP_36_CO1_S159_L001,OCSAN_16,OCSD,16,Spring 2019,1,33.3421953,-117.8207463,1.391940318,2241.26598,2132.847032,7.842311117,11.64,33.6862907,25.62513953,7.610930233,155.7626604
B16-2-2019,MP_56_18S_S68_L001,MP_56_CO1_S179_L001,OCSAN_16,OCSD,16,Summer 2019,2,33.3421953,-117.8207463,1.589985567,2237.870653,2107.271635,7.887770801,12.6977907,33.60796512,25.3535,7.600232558,173.0953959
B16-3-2019,MP_76_18S_S88_L001,MP_76_CO1_S199_L001,OCSAN_16,OCSD,16,Fall 2019,3,33.3421953,-117.8207463,1.757434552,2236.876662,2087.28172,7.927528795,13.29581395,33.57696512,25.21133721,7.815697674,190.9706246
B16-4-2020,MP_16_18S_S28_L001,MP_16_CO1_S139_L001,OCSAN_16,OCSD,16,Winter 2020,4,33.3421953,-117.8207463,1.600620549,2236.856544,2102.738643,7.902066771,12.51744186,33.58944186,25.38788372,7.750930233,181.2664773
B17-1-2019,MP_37_18S_S49_L001,MP_37_CO1_S160_L001,CSD_17,CSD,17,Spring 2019,1,32.936947,-117.439508,1.269675115,2243.624975,2146.890268,7.819676015,10.93546512,33.73795349,25.80053488,7.828255814,147.8676858
B17-2-2019,MP_57_18S_S69_L001,MP_57_CO1_S180_L001,CSD_17,CSD,17,Summer 2019,2,32.936947,-117.439508,1.741377051,2236.664726,2084.112947,7.946007209,12.45186047,33.57838372,25.38494186,8.028837209,205.9166011
B17-3-2019,MP_77_18S_S89_L001,MP_77_CO1_S200_L001,CSD_17,CSD,17,Fall 2019,3,32.936947,-117.439508,1.909225231,2239.121489,2073.314719,7.955293989,14.12732558,33.6077093,25.07238372,8.008255814,201.0128901
B17-4-2020,MP_17_18S_S29_L001,MP_17_CO1_S140_L001,CSD_17,CSD,17,Winter 2020,4,32.936947,-117.439508,1.84906018,2236.599096,2074.975918,7.955787402,13.37790698,33.5584186,25.185,7.940116279,205.7522389
B18-1-2019,MP_38_18S_S50_L001,MP_38_CO1_S161_L001,CSD_18,CSD,18,Spring 2019,1,32.818817,-117.456712,1.31390513,2242.29606,2140.328255,7.832088369,11.1422093,33.71104651,25.74156977,7.851162791,152.9783213
B18-2-2019,MP_58_18S_S70_L001,MP_58_CO1_S181_L001,CSD_18,CSD,18,Summer 2019,2,32.818817,-117.456712,1.51511355,2240.666455,2116.385248,7.878450232,11.98313953,33.6665814,25.54480233,7.961860465,172.7538633
B18-3-2019,MP_78_18S_S90_L001,MP_78_CO1_S201_L001,CSD_18,CSD,18,Fall 2019,3,32.818817,-117.456712,1.824201913,2239.853648,2083.667926,7.935610735,13.78348837,33.63046512,25.15831395,7.992325581,192.513652
B18-4-2020,MP_18_18S_S30_L001,MP_18_CO1_S141_L001,CSD_18,CSD,18,Winter 2020,4,32.818817,-117.456712,1.847550767,2235.51966,2072.424172,7.964061452,13.18872093,33.54601163,25.21423256,7.924186047,210.9626622
B19-1-2019,MP_39_18S_S51_L001,MP_39_CO1_S162_L001,CSD_19,CSD,19,Spring 2019,1,32.703722,-117.429378,1.122967483,2249.205547,2170.216774,7.773324526,10.31116279,33.83254651,25.98474419,7.771860465,128.1291713
B19-2-2019,MP_59_18S_S71_L001,MP_59_CO1_S182_L001,CSD_19,CSD,19,Summer 2019,2,32.703722,-117.429378,1.307851384,2242.660421,2141.461746,7.830119849,11.21104651,33.72025581,25.73875581,7.842790698,151.2939341
B19-3-2019,MP_79_18S_S91_L001,MP_79_CO1_S202_L001,CSD_19,CSD,19,Fall 2019,3,32.703722,-117.429378,1.920628646,2239.191174,2071.911645,7.957960841,14.28313953,33.61367442,25.04481395,7.975116279,201.1836739
B19-4-2020,MP_19_18S_S31_L001,MP_19_CO1_S142_L001,CSD_19,CSD,19,Winter 2020,4,32.703722,-117.429378,1.803922266,2237.450558,2081.96045,7.941228441,13.41883721,33.58377907,25.20162791,7.893139535,197.4673304
B2-1-2019,MP_22_18S_S34_L001,MP_22_CO1_S145_L001,ABC_2,Oxnard/ABC,2,Spring 2019,1,34.0194511,-119.3083735,1.381162765,2244.594624,2139.489868,7.827520278,11.75523256,33.74727907,25.64223256,7.872325581,147.9548738
B2-2-2019,MP_42_18S_S54_L001,MP_42_CO1_S165_L001,ABC_2,Oxnard/ABC,2,Summer 2019,2,34.0194511,-119.3083735,1.514548877,2238.640409,2114.822811,7.878731359,12.13,33.6305814,25.49138372,7.900116279,171.5418573
B2-3-2019,MP_62_18S_S74_L001,MP_62_CO1_S185_L001,ABC_2,Oxnard/ABC,2,Fall 2019,3,34.0194511,-119.3083735,1.622765581,2238.833464,2104.192135,7.895929591,12.77348837,33.62437209,25.35230233,7.967093023,177.1268341
B2-4-2020,MP_102_18S_S14_L001,MP_102_CO1_S125_L001,ABC_2,Oxnard/ABC,2,Winter 2020,4,34.0194511,-119.3083735,1.625963334,2238.007814,2101.772843,7.903470143,12.53581395,33.60416279,25.3890814,8.07255814,182.6240657
B20-1-2019,MP_40_18S_S52_L001,MP_40_CO1_S163_L001,CSD_20,CSD,20,Spring 2019,1,32.58679,-117.3915026,1.147762927,2249.853586,2167.905377,7.778253451,10.4055814,33.8382093,25.97016279,7.788255814,130.3097529
B20-2-2019,MP_60_18S_S72_L001,MP_60_CO1_S183_L001,CSD_20,CSD,20,Summer 2019,2,32.58679,-117.3915026,1.413504202,2241.022132,2126.716285,7.860995861,11.52372093,33.68639535,25.65281395,7.910232558,165.6513185
B20-3-2019,MP_80_18S_S92_L001,MP_80_CO1_S203_L001,CSD_20,CSD,20,Fall 2019,3,32.58679,-117.3915026,1.90496022,2239.992109,2075.795202,7.947566079,14.37662791,33.62539535,25.03330233,7.98127907,195.2922143
B20-4-2020,MP_20_18S_S32_L001,MP_20_CO1_S143_L001,CSD_20,CSD,20,Winter 2020,4,32.58679,-117.3915026,1.843365693,2236.826897,2076.437691,7.951818677,13.5222093,33.56436047,25.16455814,7.888255814,202.5422496
B3-1-2019,MP_23_18S_S35_L001,MP_23_CO1_S146_L001,ABC_3,Oxnard/ABC,3,Spring 2019,1,33.95766053,-119.1781939,1.361058559,2244.656396,2141.515955,7.82354438,11.6455814,33.7465814,25.6622907,7.864418605,146.4916016
B3-2-2019,MP_43_18S_S55_L001,MP_43_CO1_S166_L001,ABC_3,Oxnard/ABC,3,Summer 2019,2,33.95766053,-119.1781939,1.54357863,2239.521323,2113.413848,7.879332751,12.25918605,33.63947674,25.46351163,7.90127907,171.6955559
B3-3-2019,MP_63_18S_S75_L001,MP_63_CO1_S186_L001,ABC_3,Oxnard/ABC,3,Fall 2019,3,33.95766053,-119.1781939,1.619125505,2238.356792,2103.34342,7.899190243,12.7472093,33.61672093,25.3584186,7.996627907,178.6385166
B3-4-2020,MP_103_18S_S15_L001,MP_103_CO1_S126_L001,ABC_3,Oxnard/ABC,3,Winter 2020,4,33.95766053,-119.1781939,1.772016135,2235.781573,2082.950946,7.939332541,13.17174419,33.55139535,25.22683721,8.091744186,197.7047625
B4-1-2019,MP_24_18S_S36_L001,MP_24_CO1_S147_L001,ABC_4,Oxnard/ABC,4,Spring 2019,1,33.935232,-119.036068,1.43844406,2241.350267,2127.141133,7.855338827,11.79023256,33.69281395,25.59848837,7.886627907,161.7264718
B4-2-2019,MP_44_18S_S56_L001,MP_44_CO1_S167_L001,ABC_4,Oxnard/ABC,4,Summer 2019,2,33.935232,-119.036068,1.673156556,2239.06859,2099.696194,7.902497073,12.9577907,33.62276744,25.30401163,7.922906977,180.1363561
B4-3-2019,MP_64_18S_S76_L001,MP_64_CO1_S187_L001,ABC_4,Oxnard/ABC,4,Fall 2019,3,33.935232,-119.036068,1.683207747,2237.684332,2096.858446,7.906904889,13.33837209,33.59587209,25.22423256,7.994069767,179.0006397
B4-4-2020,MP_104_18S_S16_L001,MP_104_CO1_S127_L001,ABC_4,Oxnard/ABC,4,Winter 2020,4,33.935232,-119.036068,1.690281867,2238.43025,2096.454936,7.910681974,13.21406977,33.60648837,25.26410465,8.079069767,181.9989002
B5-1-2019,MP_25_18S_S37_L001,MP_25_CO1_S148_L001,CLA_5,CLA-EMD,5,Spring 2019,1,33.97368541,-118.9126162,1.700140242,2238.963075,2091.932955,7.932477536,12.39885246,33.63631148,25.44270492,8.107213115,199.0570636
B5-2-2019,MP_45_18S_S57_L001,MP_45_CO1_S168_L001,CLA_5,CLA-EMD,5,Summer 2019,2,33.97368541,-118.9126162,1.554486861,2241.3889,2113.214197,7.884206599,12.07069767,33.68173256,25.52698837,7.943139535,175.8799066
B5-3-2019,MP_65_18S_S77_L001,MP_65_CO1_S188_L001,CLA_5,CLA-EMD,5,Fall 2019,3,33.97368541,-118.9126162,1.767754502,2236.330585,2083.902995,7.938589636,13.03988372,33.56211628,25.25883721,7.991046512,198.4088258
B5-4-2020,MP_105_18S_S17_L001,MP_105_CO1_S128_L001,CLA_5,CLA-EMD,5,Winter 2020,4,33.97368541,-118.9126162,1.701266396,2238.515905,2093.139396,7.924012515,12.85883721,33.61738372,25.34359302,8.040930233,191.3292114
B6-1-2019,MP_26_18S_S38_L001,MP_26_CO1_S149_L001,CLA_6,CLA-EMD,6,Spring 2019,1,33.9643418,-118.7653046,1.528419855,2240.788443,2113.530305,7.888738621,11.90403226,33.67829032,25.57430645,8.042096774,178.3854526
B6-2-2019,MP_46_18S_S58_L001,MP_46_CO1_S169_L001,CLA_6,CLA-EMD,6,Summer 2019,2,33.9643418,-118.7653046,1.395874822,2240.062955,2128.342076,7.856588464,11.38872093,33.67068605,25.66633721,7.885581395,164.3177425
B6-3-2019,MP_66_18S_S78_L001,MP_66_CO1_S189_L001,CLA_6,CLA-EMD,6,Fall 2019,3,33.9643418,-118.7653046,1.726101567,2236.776349,2090.025939,7.923570203,13.18,33.57751163,25.24130233,7.975348837,189.1641854
B6-4-2020,MP_106_18S_S18_L001,MP_106_CO1_S129_L001,CLA_6,CLA-EMD,6,Winter 2020,4,33.9643418,-118.7653046,1.655095384,2239.308453,2100.192337,7.907668721,12.92174419,33.63345349,25.34545349,8.02627907,182.0396257
B7-1-2019,MP_27_18S_S39_L001,MP_27_CO1_S150_L001,CLA_7,CLA-EMD,7,Spring 2019,1,33.89129311,-118.6510062,1.473879097,2239.17665,2121.509649,7.865824632,11.86806452,33.65172581,25.55967742,8.189677419,166.839793
B7-2-2019,MP_47_18S_S59_L001,MP_47_CO1_S170_L001,CLA_7,CLA-EMD,7,Summer 2019,2,33.89129311,-118.6510062,1.375172953,2240.065795,2128.961224,7.858278567,11.11325581,33.67419767,25.71927907,7.67,166.7624721
B7-3-2019,MP_67_18S_S79_L001,MP_67_CO1_S190_L001,CLA_7,CLA-EMD,7,Fall 2019,3,33.89129311,-118.6510062,1.925261853,2236.368027,2067.464742,7.967782395,13.88546512,33.55673256,25.07780233,8.028139535,209.1484247
B7-4-2020,MP_107_18S_S19_L001,MP_107_CO1_S130_L001,CLA_7,CLA-EMD,7,Winter 2020,4,33.89129311,-118.6510062,1.504770053,2242.68595,2121.864093,7.86442465,12.43034884,33.70398837,25.49423256,7.94872093,162.3242033
B8-1-2019,MP_28_18S_S40_L001,MP_28_CO1_S151_L001,CLA_8,CLA-EMD,8,Spring 2019,1,33.80393012,-118.5490934,1.519068765,2241.641269,2117.77444,7.876908234,11.935,33.69420968,25.57332258,7.781935484,172.6611944
B8-2-2019,MP_48_18S_S60_L001,MP_48_CO1_S171_L001,CLA_8,CLA-EMD,8,Summer 2019,2,33.80393012,-118.5490934,1.548379329,2239.211004,2109.658699,7.894825109,11.82523256,33.6409186,25.55639535,7.87744186,182.439913
B8-3-2019,MP_68_18S_S80_L001,MP_68_CO1_S191_L001,CLA_8,CLA-EMD,8,Fall 2019,3,33.80393012,-118.5490934,1.854003279,2235.996871,2074.476715,7.95425503,13.63325581,33.54767442,25.12938372,8.003604651,202.986057
B8-4-2020,MP_108_18S_S20_L001,MP_108_CO1_S131_L001,CLA_8,CLA-EMD,8,Winter 2020,4,33.80393012,-118.5490934,1.688619517,2238.856651,2095.529118,7.917578421,12.86127907,33.62023256,25.34246512,8.009767442,188.0715385
B9-1-2019,MP_29_18S_S41_L001,MP_29_CO1_S152_L001,LACSD_9,LACSD,9,Spring 2019,1,33.731735,-118.552292,1.132089601,2245.119603,2168.437976,7.769466332,10.6577907,33.76624419,25.87446512,7.804302326,123.6933919
B9-2-2019,MP_49_18S_S61_L001,MP_49_CO1_S172_L001,LACSD_9,LACSD,9,Summer 2019,2,33.731735,-118.552292,1.571699506,2237.647769,2106.978867,7.894805714,12.18,33.60465116,25.46066279,7.991395349,180.1023549
B9-3-2019,MP_69_18S_S81_L001,MP_69_CO1_S192_L001,LACSD_9,LACSD,9,Fall 2019,3,33.731735,-118.552292,1.655586716,2237.414751,2097.557063,7.911858327,12.91290698,33.59736047,25.31937209,8.048837209,183.945863
B9-4-2020,MP_109_18S_S21_L001,MP_109_CO1_S132_L001,LACSD_9,LACSD,9,Winter 2020,4,33.731735,-118.552292,1.641995748,2238.40083,2100.468351,7.906176409,12.9372093,33.61713953,25.33103488,7.972674419,180.783493
